,pm2_5,pm2_5,pm2_5,pm2_5,Temperature,WindSpeed,Humidity,Pressure,traffic
2020-06-25 06:00:00,8.204967158181327,8.202270177694468,9.223981600541334,9.307400593390831,20.0,7.0,73.0,30.01,61.42233833333332
2020-06-25 07:00:00,8.112559761319842,8.964156659444173,8.815048044378107,9.001456396920341,21.5,7.5,67.0,30.01,159.45179749999997
2020-06-25 08:00:00,7.820250988006592,7.289411919457572,7.541690077100482,8.036527463368007,24.0,7.0,56.0,30.01,259.67020333333335
2020-06-25 09:00:00,6.100679016113281,5.862097433635166,5.705772066116333,5.156052930014474,27.0,7.5,48.0,30.01,275.9005383333334
2020-06-25 10:00:00,4.267895603179932,4.117403763991136,4.606634346644084,4.5621353467305505,29.0,9.0,40.0,30.01,285.8949766666667
2020-06-25 11:00:00,3.5881474358694896,3.9792152722676595,3.964994925719041,4.167719602584839,29.5,12.0,37.5,29.995,288.52955000000003
2020-06-25 12:00:00,3.061067787806193,3.3680729355130876,3.675397286048302,3.5558434633108287,30.5,9.0,36.5,29.98,296.8831016666666
2020-06-25 13:00:00,3.5240781903266907,4.05591218812125,4.170099826959463,4.259798697062901,31.5,8.5,33.0,29.965,288.88836666666674
2020-06-25 14:00:00,3.185181478659312,4.246019109090169,4.083918555577596,4.03206676703233,32.0,7.5,33.0,29.95,282.60016083333335
2020-06-25 15:00:00,2.9318057537078857,3.2890449487246,3.5335469927106584,3.4665063858032226,32.0,10.5,33.0,29.92,286.78839000000005
2020-06-25 16:00:00,3.418357003818859,3.557892450919518,3.7589705160685947,3.9551496823628742,32.0,12.0,32.0,29.92,310.5622933333334
2020-06-25 17:00:00,3.2844332456588745,3.2319390944072177,3.5971536934375763,4.04538992245992,30.0,14.0,33.0,29.89,285.73245583333335
2020-06-25 18:00:00,3.1303947236802845,3.2800256524767195,4.0164806842803955,3.91483998298645,29.5,15.5,34.0,29.89,280.2075366666666
2020-06-25 19:00:00,3.1406176884969077,3.1022158690861295,3.5956227438790456,3.8786073464613695,28.0,14.0,37.0,29.89,219.52124583333338
2020-06-25 20:00:00,3.2593951736177718,3.387767124176025,3.633183558781942,3.8666123151779166,26.5,12.5,40.5,29.89,153.98444999999995
2020-06-25 21:00:00,3.125248098373413,3.0854722942624773,3.3657898704210916,3.8202384540012906,24.5,11.5,45.5,29.89,109.80565999999999
2020-06-25 22:00:00,4.05343667098454,3.4396360771996632,4.117341836293538,4.245228417714437,23.5,8.0,50.0,29.89,111.10603499999998
2020-06-25 23:00:00,4.142724105290005,3.9319681780678883,4.577620642525809,4.033908775874546,21.0,7.0,60.0,29.89,69.91571333333333
2020-06-26 00:00:00,5.443187618255616,4.844702277864728,5.252327850886753,4.914254478045872,21.0,3.0,64.0,29.86,51.15017083333334
2020-06-26 01:00:00,7.506753070013864,7.613616602761405,7.837485345204671,7.786778046534612,20.0,3.0,69.0,29.83,37.522261666666665
2020-06-26 02:00:00,8.129109052511362,7.767480723063151,7.727810749640832,7.466967957360404,18.0,5.0,78.0,29.83,31.25943666666667
2020-06-26 03:00:00,9.372713015629696,9.406647555033366,8.557498455047607,8.829028828938801,18.0,1.0,78.0,29.8,23.467875000000003
2020-06-26 04:00:00,12.548151561192103,12.687066872914633,13.24050235748291,12.990619405110676,19.0,8.0,78.0,29.8,28.636019166666667
2020-06-26 05:00:00,8.57338539759318,8.118340635299683,11.468230860573906,12.599431719098773,19.0,3.0,78.0,29.8,35.63599333333333
2020-06-26 06:00:00,6.338889948527018,6.3259937286376955,8.8875549861363,8.764891420091901,20.0,5.0,78.0,29.8,61.557075000000005
2020-06-26 07:00:00,4.2666157484054565,5.407641584222967,4.505661743027823,5.348588726737282,21.5,2.5,71.0,29.8,168.40766666666667
2020-06-26 08:00:00,3.0702245930830636,3.377640417643956,3.169263966878255,4.173944124808679,23.5,3.5,63.0,29.8,220.69984166666669
2020-06-26 09:00:00,1.8659663030079432,2.464846900531224,2.577101605279105,2.5475711481911794,25.5,6.5,54.0,29.8,269.15459749999997
2020-06-26 10:00:00,2.264148473739624,2.7990573186140795,2.4927058586707482,2.7359522501627604,27.0,9.0,49.5,29.77,256.55229749999995
2020-06-26 11:00:00,2.336016567548116,3.021287331214318,3.6835820118586224,2.8715128898620605,28.5,8.5,46.5,29.77,267.80186
2020-06-26 12:00:00,2.6546193758646646,3.207362588246663,3.269106516471276,3.0588419437408447,29.0,9.0,44.0,29.77,307.32601750000003
2020-06-26 13:00:00,2.7986222585042317,3.4591268392709584,3.576403260231018,3.6483259201049805,30.0,10.5,43.0,29.77,312.27547583333336
2020-06-26 14:00:00,2.704574309862577,3.411494050707136,3.6344685895102367,3.3206177268709456,29.5,12.5,42.5,29.74,323.1766075
2020-06-26 15:00:00,3.1019044081370035,4.111293297547561,3.901249280342689,4.118004235354337,28.0,15.5,46.5,29.74,334.92111500000004
2020-06-26 16:00:00,4.534454243523734,5.09094636780875,5.049884745052883,5.510431249936421,28.0,14.5,43.5,29.74,355.6743450000001
2020-06-26 17:00:00,4.25382415453593,4.624679756164551,4.59318608897073,5.071973494121006,27.0,14.5,45.0,29.74,357.1903333333334
2020-06-26 18:00:00,6.2761603991190595,6.205916166305542,6.615944417317708,6.829726417859395,25.5,13.5,47.5,29.74,338.36989916666664
2020-06-26 19:00:00,7.566413911183675,8.186043453216552,7.586942036946614,8.0716020266215,22.5,13.0,57.0,29.74,316.62742000000003
